English,Arabic
Lobulated,مفصص
Lobulated tongue,لسان مفصص
Lobulus,فصيص
lobule,فصيص
Lobule,فصيص - فلقة الفص. شحمة الأذن
Lobule,فصيص
Lobule,فصيص [ج: فصيصات]
Lobulette,فصيص صغير - فلقة الفصيص
Lobuli,فصيصات
Lobuli testis,فصيصات الخصية
Lobuli testis,فصيصات الخصية
Lobuli; pl. of lobulus,فصيصات
Lobulization,تفصص - انفصاص
Lobulose,ذو فصيصات
lobulous,ذو فصيصات
Lobulus parietalis,الفصيص الجداري
Lobulus,فصيص [ج: فصيصات]
Lobulus thymi,فصيصات التوتة
Lobulus parietalis superior,الفصيص الجداري العلوي
Lobus occipitalis,الفص القذالي
Lobus parietalis,الفص الجداري
Lobus temporalis,الفص الصدغي
Lobus,فص [ج: فصوص]
Lobus occipitalis,الفص القذالي
Lobus parietalis,الفص الجداري
Lobus medius prostatae,فص الموثة المتوسط
Topical Stimulant,منبه موضعي
local Stimulant,منبه موضعي
Local,سبب موضعي
Local,موضعي - محلي
Local,موضعي
Local,موضعي
Local,محلي
Local treatment,المعالجة الموضعية
Local paralysis,شلل موضعي – في عضو أو عضلة
Local reaction,تفاعل موضعي
Local tic,عرة موضعية
Local reflex,منعكس موضعي
Local therapy,معالجة موضعية
Local treatment,معالجة موضعية
Local reaction,تفاعل موضعي
Local Stimulant,منبه موضعي
Local symptom,عرض موضعي
Local stimulant,منبه موضعي
topical stimulant,منبه موضعي
Localization,استقرار. تعيين الموضع - توضع
Localization,توضع
Localization,تحديد
Localization theory,نظرية تمركز العمليات النفسية في الدماغ
Localized,موضع أو موضعي - مستقر - محصور محليًا
Localized,موضعي - موضع
Localized peritonitis,التهاب البريتون الموضعي أو التهاب البريتون الموضع أو المحلي
Localized Peritonitis,التهاب الصفاق الموضعي
Localized peritonitis,التهاب الصفاق الموضع
Localized tetanus,تكزز موضع
Locator,موضعة – محددة الموضع
localizer,موضعة – محددة الموضع
localizer,مكان
locomotion,موضع
Localizer,موضع - موضعة - محددة الموضع
Localizer,موضعة (محددة الموضع)
Localizing,موضع
Localizing symptom,أعراض موضعة – تحدد موضع الآفة
Localizing s’ symptom,أعراض موضعة
Location,موضع - موقع
Location,موقع ـ مركز ـ موضع ـ مكان
Location,موضع
Locative,وضي - محدد الوضع النسبي
Lochia,نفاسة - قضة - هلابة – مفرزات النفاس
Lochia,هلابة (= السائل النفاسي)
Lochia rubra,النفس أو النفاسة – الدم الذي يسيل من النفساء. (دم العذرة)
Lochial,هلابي - عذوري - نفاسي
Lochial,هلابي
Lochiocolpos,تمدد المهبل بالهلابة
Lochiocyte,هلابة مهبلية – خلية هلابية
Lochiometra,احتباس الهلابة – بقاء الهلابة داخل الرحم أو تجمع الهلابة في الرحم
Lochometritis,التهاب رحمي نفاسي
lochiometritis,التهاب الرحم النفاسي
Lochiometritis,التهاب الرحم النفاسي
Lochiopyra,الحمى النفاسية
Lochiorrhagia,فيض الهلابة أو غزارتها
Lochiorrhea,ثر الهلابة - غزارة الهلابة
Lochioschesis,حصر أو احتباس الهلابة
Lochiostasis,ركود الهلابة
Lochometrophlebitis,التهاب أوردة الرحم النفاسي
Lochoperitonitis,التهاب البريتون النفاسي
Loci,مواضع [ف: موضع]
Lock,محبس. يقفل
Lock,يقفل – قفل ـ محبس
Locking tweezers,ملقط حابس
Locking tweezers,ملقط حابس (ملقط ذو محبس)
Locking tweezers,ملقط حابس (ذو محبس)
Trismus,ضزز ـ كزاز فكي (انغلاف الفكين بتشنج العضلات)
lockjaw,ضزز ـ كزاز فكي (انغلاف الفكين بتشنج العضلات)
Lockjaw,ضزز ـ كزاز الفك ـ فك مقفل
Locomotion,تنقل - تحرك
Locomotion,تحرك
Locomotion,الحركة
Locomotive,تنقلي - متحرك
Locomotor,حركي - تحركي
Locomotor,تحركي
Locomotorium,الجهاز المحرك
Locomotory,تحركي
Uni locular,أحادي الحجرة
Locular,حجري - فجوي - ذو فجوات
Locular,كهفي ـ ذو كهوف أو فجوات
Locular,مسكني
Loculate,مسكني - ذو فجوات - ذو حجر
Loculation,تفج - تكون الحجر أو الفجوات
Loculi,مساكن
Loculus,حجرة - فرجة صغيرة - فجوة - مسكن
Loculus,كهف ـ فجوة
Loculus,مسكن
Locum tenens,طبيب بديل – قائم مقام آخر في فترة غيابه
locum tenent,طبيب بديل – قائم مقام آخر في فترة غيابه
Locum,مقام - مكان. طبيب بديل
Locus,موضع - بقعة - مكان
Locus,موضع [ج: مواضع]
Locus niger,البقعة السوداء
substantia nigra,البقعة السوداء
Locust,الجراد - الجندب
Loffler’s syndrome,متلازمة لفلر
Loffler’s syndrome,متلازمة لفلر
Logadectomy,خزع جزء من الملتحمة
Logades,الصلبة - بياض العين
Logaditis,التهاب الصلبة
Logadoblennorrhea,التهاب الملتحمة – الرمد المصري
Logagnosia,حبسة - بكم الكلام
Logagraphia,بكم الكتابة
Logamnesia,الحبسة الحسية - النسيان
Logaphasia,الحبسة الحركية
Logarithmic,لوغارتيمي
Logasthenia,وهن الكلام
Logic,منطق
Logic of the sentiments,منطق العواطف
Logical,منطقي
Logical networks,شبكات منطقية
Logical term,حد منطقي
Logical validity,صدق منطقي
Logo-,كلام (سابقة)
Logoclonia,تردد المقاطع
logoklony,تردد الكلمات
Logokophosis,طرش كلمى
Logomania,مس ثرثري
Logomania,هوس الكلام
Logoneurosis,شواش عصبي كلمي - عصاب نطقي
Logopathy,اعتلال التكلم - عي الكلام
Logopathy,اعتلال كلامي
Logopedia,مبحث عيوب التكلم
logopedics,مبحث عيوب التكلم
Logoplegia,شلل التلفظ – شلل عضو من أعضاء التكلم
Logorrhea,اللسن - ثرثرة - ذرب
Logorrhea,ثرثرة
Logorrhea,هوس الثرثرة
Logoscope,مكشاف الكلام
Logospasm,تشنج التلفظ - شنج الكلام
Logospasm,تشنج الكلام
Logotherapy,العلاج الوجودي
Loimia,وباء - طاعون
Loimopyra,حمى وبائية
Loin,خاصرة - إطل - كشح - قطن
Loin,القطن
lumbus,القطن
Loneliness,الشعور بالوحدة
Long,طويل ـ طولاني ـ طولي
Long mandrel,حامل أقراص طويل
Long term memory,ذاكرة طويلة الحد
Long term therapy,علاج طويل المدى
Long term treatment,علاج طويل الأمد
Long-tube radiograph,صورة بأسلوب القِمع الطويل
Longer,أطول ـ أكثر طولاً
Longevity,تعمير - طول العمر - الكبرة
Longevity,تعمير
Longicaudate,ذيال - طويل الذنب
Longilineal,طويل الخطوط
longitypical,طويل الخطوط
Longimanous,طويل اليدين
Longing,توق - اشتياق
Longipedate,طويل القدمين
Longiradiate,طويل الإشعاع
Longissimus,أطول - طولي. الطولى
Longissimus,طولي ـ أطول (لاتينية)
Longissimus,الطولى
Longitudinal,طولاني - طولي
Longitudinal,طولي ـ طولاني ـ متطاول
Longitudinal,طولاني
Longitudinal sinus,الجيب الطولاني – أحد جيوب الأمجافية
Longitudinal section,القد – القطع طولاً
Longitudinal wave,موجة طولية
Longitudinal muscle,عضلة طولانية
Longitudinal section,مقطع طولي
Longitudinal section,مقطع طولاني ـ مقطع طولي
Longitudinal suture,الدرز السهمي
suture sagittalis,الدرز السهمي
Longitudinal method,الطريقة الطولية
Longitudinal study,دراسة طولية
Longitudinal suture of palate,الدرز الحنكي الناصف
Longitudinalis,طولاني
Os longum,عظم طويل
Vinculum longum,القياد الطوبل
Peroneus longus muscle,العضلة الشظوية الطويلة
Longus,طويل. الطويلة
Longus,طويل (لاتينية)
Longus,الطويلة
Loony,مجنون
Wire loop,عروة سلكية
Wire loop,عروة سلكية
Platinum loop,غانة (عروة بلاتين)
Stagnant loop syndrome,متلازمة العروة الراكدة
Multiple loop wiring,ربط بالعرى المتعددة
Loop,عروة - ربقة - أنشوطة - غانة
Loop,عروة
Loop,عروة [ج: عرى]
Loop matrix,مسندة ذات عروة
Loopful,غانة (=ملء غانة)
Loophole,مزغل - كوة - مهرب
Looping,تربيق
Loose,مفكوك - فالت - محلول
Loose,متقلقل ـ قلق – سائب
Loose,سائب- رخوة
Loose teeth,أسنان متقلقلة ـ أسنان قلقة
Looseness,تخلخل - انفكاك - تقلقل
Tooth loosening,قلق السن (تحرك السن في سنخه)
Tooth loosening,قلق السن (التسمية القديمة: تقلقل السن)
Loosening,قلق ـ تقلقل ـ قلقة
Lophius,عرف – حيد على السطح البطيني للمخ
Lophodont,سن ذات عرف
Lophodont,سن عرفية ـ سن قنزعية (أسنان ذات تيجان تشبه عرف الديك أو القنزعة)
Lophophytosis,قراع عرفي – فطري
Lophotrichate,عرفي شعري
lophotrichous,عرفي سوطي
Lophotrichous,عفرية الأهداب
Loquat,أكي دنيا - البشملة
Lorazepam,لورازيبام – عقار مهدئ اسمه التجاري أتيفان
Lordosis,القعس - البزخ - الفطأ - الفزر
lordoma,القعس - البزخ - الفطأ - الفزر
Lordoma,البزخ
lordosis,الفطأ – انحناء العمود الفقري إلى أمام
Lordoscoliosis,البزخ والجنف
Lordosis,قعس
Lordotic,أقعس - أفطأ - أبزخ - أفزر
Lordotic,قعسي - أقعس. قعساء
Lordotic pelvis,حوض قعسي
Lordotic pelvis,حوض قعسي
Loser,فاشل
Tooth loss,ضياع السن ـ فقد السن
Tooth loss,فقد السن ـ ضياع السن
Weight loss,نقص الوزن
Object loss,فقدان الموضوع
Loss,فقد - ضياع
Loss,فقد ـ ضياع
Lotion,دهون
lotio,غسول
Lotio,دهون [ج: دهونات]
lotion,دهون [ج: دهونات]
parking lots,أماكن وقف السيارات
Loudspeaker,مجهار
Loupe,عدسة مكبرة - مكبرة
Loupe,عدسة مكبرة
Loupe magnifier,عدسة مكبرة
Lous temporalis,الفص الصدغي
Louse,قمل
Lousicide,مبيد القمل
Lousicide,مبيد القمل
Loutrotherapy,المداواة بالحمامات
Lovage,كاشم - نبات الكاشم – من الفصيلة الخيمية
Object love,حب الموضوع
Self-love,حب النفس
Love,الحب
Low,منخفض
Low voltage therapy,معالجة بالفلطية المنخفضة
Low-tension pulse,نبض خفيض التوتر
soft pulse,نبض خفيض التوتر
Low-zone tolerance,تحمل المنطقة المنخفضة (مناعيات)
Submaxilla,الفك السفلي (ما تحت الفك العلوي)
lower maxilla,الفك السفلي (ما تحت الفك العلوي)
mandible,الفك السفلي (ما تحت الفك العلوي)
Lower wisdom tooth,ضرس العقل السفلي
lower third molar,ضرس العقل السفلي
Lower,أسفل ـ سفلي
Lower molar,رحى سفلية
Lower tooth,سن سفلية
Lower quartile,الربيع الأدنى
Lower threshold,العتبة السفلى
Lower ridges slope,منحدر الحافة السفلية ـ منحدر الحيد السفلي
Lower second molar,رحى ثانية سفلية
Lower second premolar,ضاحكة ثانية سفلية
Lower third molar,رحى ثالثة سفلية
Lower-segment operation,عملية الشدفة السفلي
Loxarthron,مفصل مائل
loxarthrosis,مفصل معوج بدون انخلاع – ميل أو عوج مفصلي أو تشوه مفصلي نحرافي
Loxarthrosis,ميل أو عوج مفصلي - مفصل مائل
Loxia,الصعر
torticollis,الصعر
Loxic,مفتول - مبروم
Loxophthalmus,حول
strabismus,انحراف العين
Loxopterygium,منحرفة الجناح – جنس شجر بلادري
Loxotic,مائل - انحرافي
Loxotomy,بتر مائل أو انحرافي - قطع انحرافي
Loyalty,ولاء
Lozenge,قرص دوائي - قرصة - قريصة
Lubb,لب – مقطع يمثل الصوت الأول للقلب أثناء الاستماع
Lubricant,مزلق
Lubricant,مزلق (زيت أو شحم)
Lubricating,تزلق ـ تزليق – تشحيم ـ تزييت (استعمال الزيت أو الشحم لتسهيل الحركة)
Lubrication,تزليق
Lubrication,تزليق (تشحيم أو تزييت)
Lucanthone,لوكانتون
Lucid,جلي - واضح. مدرك - صافي الذهن
Lucid,صافي - واضح - صاحي
Lucidification,الاستجلاء
Lucidity,صفاء الذهن - الاستنارة العقلية - جلاء - وضوح - صحو
Lucidity,صفاء - وضوح - صحو
Tapetum lucidum,بساط المشيمية
Septum pellucidum,الحاجز الشفاف
septum lucidum,الحاجز الشفاف
Luciferase,الوضاء – أنزيم حيواني المصدر
Luciferase,لوسيفراز
Luciferin,لوسيفرين – جسم بلوري وضاء
Luciferin,لوسيفرين
Lucifugal,هارب من النور - متجنب النور
Lucilia,الذباب اللامع
Lucipetal,منجذب للنور
Luckenschadel,شفوفية الجمجمة مع فتق دماغي أو سحائي
Lucotherapy,الاستضواء - المعالجة بأشعة الضوء
Luer’s syringe,محقنة لوير
Lues,السفلس - الداء الإفرنجي
Lues,الإفرنجي (السفلس)
Lues,زهري = سفلس
syphilis,زهري = سفلس
Non-luetic,لا زُهري (لا يُسبِّب الزهري)
Luetic,مصاب بالزهري – نسبة للزهري
Luetic,إفرنجي (سفلسي)
Luetic,مصاب بالسفلس
luic,مسفلس
Luetin test,اختبار السفلس
Luetism,سفليس خفيف
Luette,اللهاة
uvula,اللهاة
Rest lug,مقر المهماز ـ مستقر المهماز
Retentive lug,سناد مثبت ـ مهماز مثبت
Lug,سناد ـ مهماز
Lugol’s solution,محلول لوغول – محلول اليود المركز
Lugol’s solution,محلول لوغول
Lugol’s solution,محلول لوغول
Lukewarm,فاتر
Lumbodynia,ألم القطن - العناج - قطان
lumbago,ألم القطن - العناج - قطان
Lumbar rheumatism,قطان
lumbago,عناج
Lumbago,ألم القطن (قطان)
Lumbago,ألم في الظهر
Trigonum lumbale,المثلث القطني
Vertebrae lumbales,الفقرات القطنية
Regio lumbalis,الناحية القطنية
Plexus lumbalis,الضفيرة القطنية
Regio lumbalis,الناحية القطنية
Lumbar,قطني
Lumbar,قطني
Lumbar nephrectomy,الاستئصال القطني للكلوة
Lumbar puncture,بزل قطني
Lumbar myalgia,العناج
Lumbar plexus,الضفيرة القطنية
Lumbar vertebrae,فقرة قطنية
Lumbar puncture,بزل قطني
Lumbar region,الناحية القطنية
Lumbar vertebrates,الفقرات القطنية
Lumbarization,تقطن – اتحاد الفقرة العجزية الأولى مع النواتئ المستعرضة للفقرة القطنية الخامسة
Lumber puncture,الوخزة القطنية
Lumboabdominal,قطني بطني
Lumbocolostomy,فغر القولون القطني - تفمم القولون القطني
Lumbocolotomy,فتح القولون القطني
Lumbocolotomy,فتح القولون القطني
Lumbocostal,قطني ضلعي
Lumbocostal,قطني ضلعي
Lumbocrural,قطني فخذي
Lumbodorsal,قطني ظهري
Lumbodorsal,قطني ظهري
Lumbogo,ألم القطن - زلخة - عناج - خزرة. لمباجو - أمل قطني - قطان
Lumbosacral,قطني عجزي
Lumbosacral,قطني عجزي
Truncus lumbosacralis,الجذع القطني العجزي
Lumbricales muscle,العضلة الخراطينية
Lumbricales muscle,العضلة الخراطينية
Lumbricalis,خرطون - دودة الأرض أو الدودة الترابية
Lumbrici; pl. of lumbricus,الخراطين - ديدان الخراطين – الدود الترابي أو الطيني
Lumbricide,مبيد الخراطين - قاتل الخراطين
Lumbricoid,خراطيني - شبه الخرطون - شبه الأسكاريد
Lumbricoid,خراطيني
Lumbricosis,داء الديدان الخراطينية - داء الخراطين
Lumbricus,الخراطين – جنس من الديدان الترابية يشمل ديدان الأمعاء الحمر
Lumbricus,الخرطون - الأسكاريد أو دودة المعي المستديرة
Lumbricus,الخراطينية
Lumbus,قطن - صلب
Lumbus,القطن
Lumen,لمعة - تجويف أو جوف الأنبوب
Lumen,لمعة (الفراغ داخل الأنبوب أو القناة أو الوعاء)
Lumen,لمعة
Lumina,لمعات [ف: لمعة]
Luminal,لمعي - متعلق باللمعة
Luminal,لمعي
Luminescence,لمعان - نورانية
Luminescence,لمعان
Luminiferous,ناقل النور - ناشر النور
Luminophore,حاملة النور – مجموعة مواد كيمائية مضيئة
Luminosity,تنور - زهو اللون
Luminous,زاه - مضيء - نير
Luminous rays,أشعة ضيائية
Lump,كتلة - كومة
Lumpy,كتيل
Lumpy,كتيل
Lunacy,جنون - جنة - الهلة
Lunacy,اختلال العقل
Sol-lunar,شمسي قمري
Lunar,هلالي. فضي
Lunare,الهلالي
os lunatum,الهلالي
Lunare,العظم الهلالي
os lunatum,العظم الهلالي
Lunate,العظم الهلالي. هلالي الشكل
Lunate,الهلالي
os lunatum,الهلالي
Lunatic,مجنون - مخبوط
Lunatic,مجنون
Lunatic,شخص مختل العقل
Lunatism,داء قمري. سير النائم في ليلة مقمرة
Lunatomalacia,رخودة العظم الهلالي
Os lunatum,العظم الهلالي
Semilunae (os lunatum),العظم الهلالي
Sulci lunatus,التلم الهلالي
Pulmo,رثة
lung,رثة
Lung,الرئة
Lung,رئة
Lung,رئة
Lung,رئة
Lung tuberculosis,سل الرئة
Nail lunula,هليل الظفر
lunula unguis,هليل الظفر
Lunula,هليل - قمير
Lunula unguis,هليل الظفر
Lunula,هليل
Lunula valvulae semilunaris,هليل المصراع الهلالي – على طرف جسم أرانتي
Lupia,ترمسية – ورم مكيس في الجفن
Lupiform,ذأبي الشكل
Lupine,الترمس
lupinus,الترمس
Lupinine,ترمسين – قواني من الترمس
Lupinosis,التسمم بالترمس
Lupinotoxin,تكسين ترمسي - ذيفان الترمس
Rictus lupinus,الحنك الأفلج أو المفلوق أو الأفلح. انشقاق الحنك - فلح الحنك
Rictus lupinus,شق الحنك
Sycosis lupoid Sycosis,تينة ذأبانية
Lupoid,نظير الذأبة - ذأباني
Lupoid,ذأباني
Lupoid sycosis,تينة ذابانية
Lupoma,ورم ذأبي
lupous tubercle,درينة ذأبية
Lupous,ذأبي
Lupulin,لوبولين – راتنج ديناري
Lupus,ذأب - ذأبة - لوشب
Lupus,داء الذئب
Lupus,ذأب [ج: أذاب]
Lupus pernio,ذأب شرثي أو قرصي
Lupus tuberculosus,ذأب سلي - ذأب تدرني
Lupus tumidus,ذأب متورم أو ذأبة متورمة
Lupus verrucosus,ذأب ثؤلولي
Lupus vulgaris,ذأب شائع
Lupus vulgaris,داء الذئب الشائع ـ داء الذئب الاعتيادي
Lupus vulgaris,داء الذئب الشائع
Lupus pernio,ذأب شرثي
Lupus tuberculosus,ذأب سلي
Lupus vulgaris,ذأب شائع
Lura,فوهة قمع الدماغ
Lust,غلمة - شهوة الجماع
Lust,شهوة
Lustful,شهواني
Lusus,لهوة - لعبة
Lusus naturae,من عجائب الطبيعة
Lute,طين - ملاط
Yellow spot,البقعة الصفراء
macula lutea,البقعة الصفراء
Luteal,أصفري – متعلق بالجسم الأصفر في المبيض
Luteal,أصفري
Luteectomy,خزع الجسم الأصفر
Lutein,لوتين أو لوتئين – صباغ أصفر أو شحمي في الجسم الأصفر أو الخلايا الشحمية
Lutein,لوتين
Luteinic,لوتيني
Luteinic,لوتيني
Luteinization,لوتينة أو لوتنة – انبثاق البيضة من جريبات غراف
Luteinization,لوتنة
Luteoid,نظير اللوتين
luteoma,أصفر
Luteoma,ورم لوتيني
Lux,وحدة النور
Luxated,منخلع
Luxated,منخلع
Luxated teeth,أسنان منخلعة
Luxatio,خلع [ج: خلوع]
luxation,خلع [ج: خلوع]
Temporomandibular luxation,انخلاع المفصل الفكي الصدغي
Luxuriant,زاخر - غزير
Luxus,غزارة - إفراط - وفرة
Lyase,لياز
Lycomania,مس ذأبي
lycanthropy,الاستذئاب – جنون يصور للمريض أنه ذئب مفترس
Lycanthropy,استذئاب – تصور أو توهم المريض بأنه ذئب - تصور ذأبي
Lycanthropy,تصور المريض أنه ذئب
Lycopodium,نوع من الطحلب. (قدم الذئب)
Lycopus,الكبريت النباتي - ليكوبوديوم
Lycorexia,قدم الذئب - أذن الحمار – نبات نعنعي
Lye,شرم الحنك. حنك مشقوق
Lye,قلي
Lygophilia,حب الظلمة - الولع بالأماكن المظلمة
Pathological lying,الكذب المرضي
Plastic lymph,لمفا الرأب
Submandibular lymph nodes,عقد لنفاوية تحت الفكية
Lympho-,لمفي (سابقة)
lymph-,لمفي (سابقة)
Lymph,لنف ـ لمف ـ بلغم
Lymph,لمف
Lymph,اللمفا أو اللنفا – سائل مائل للصفرة ذو تفاعل قلوي موجود في الأوعية اللنفاوية
lympha,اللمفا أو اللنفا – سائل مائل للصفرة ذو تفاعل قلوي موجود في الأوعية اللنفاوية
Lymph space,حيز لمفي
Lymph node,عقدة لنفاوية ـ عقدة بلغمية
Lymph nodes,عقد بلغمية ـ عقد لنفاوية
Lymph vessels,أوعية اللنف
Lymph node,عقدة لمفية
Lymph space,حيز لمفي
Lymph nodes,العقد اللمفية
Lymph node,عقدة لمفية
lymphaden,عقدة لمفية
Lymph varix,دالية لمفية
varix lymphaticus,دالية لمفية
Lympha,لمف
Lymphaden,عقدة لمفية - غدة لنفاوية أو لمفية
Lymphaden,عقدة لمفية
Lymphadenectasis,توسع الغدة اللنفاوية أو اللمفية
Lymphadenectomy,استئصال أو قطع الغدد اللمفية
Lymphadenectomy,استئصال العقدة اللمفية
Lymphadenhypertrophy,ضخامة الغدد اللمفية
Lymphadenia,تنشؤ لنفاوي أو لمفي - ضخامة النسيج اللنفاوي
Lymphadenia ossea,ورم نخاعي متعدد
multiple myeloma,ورم نخاعي متعدد
Lymphadenism,داء الضخامة اللنفاوية
Lymphadenitis,التهاب الغدد اللمفية
Lymphadenitis,التهاب الغدد اللنفاوية
Lymphadenitis,التهاب العقدة اللمفية
Lymphadenocyst,تكيس عقدي لمفاوي
Lymphadenogram,رسم الغدد اللمفية
Lymphadenoid,لمفي غداني - نظير الغدد اللنفاوية – الطحال واللوزات ونقي العظام
Lymphadenoleukopoiesis,تكون الكريات البيض اللمفي الغداني في الرحم
Malignant lymphadenoma,ورم غدي لنفاوي خبيث
Multiple lymphadenoma,غدوم لمفي متعدد - داء هدجكن
Lymphadenoma,غدوم لمفي - ورم لمفي غدي - تضخم النسيج اللمفي الغداني
Lymphadenoma,عقدوم (ورم عقدي) لمفي
Lymphadenomatosis,ورام عقدي لمفي
Lymphadenomatosis,ورام لمفي عقدي
lymphomatosis,داء الأورام اللنفاوية الغدية أو العقدية
Lymphadenopathy,اعتلال عقدي لمفي - وصب الغدد اللنفاوية
Lymphadenopathy,اعتلال عقدي لمفي
lymphadenosis,لمف - لنفاوي
Lymphadenosis,الغداد اللمفي - داء التنشؤ أو داء التشعب اللنفاوي - داء الضخامة اللنفاوية
Lymphagiography,توسع الأوعية اللمفية
Lymphagiography,تصوير الأوعية اللمفية
Lymphagogue,مدير اللنفا أو اللمف
Lymphagogue,مدار اللمف
Lymphangitis,التهاب الأوعية اللمفية
lymphangeitis,التهاب الأوعية اللمفية
lymphangiitis,التهاب الأوعية اللمفية
lymphangioitis,التهاب الأوعية اللمفية
Lymphangeitis,التهاب الأوعية اللمفية أو التهاب وعاء لمفي
lymphangitis,التهاب الأوعية اللمفية أو التهاب وعاء لمفي
Lymphangi-,"سابقة بمعنى ""وعاء لمفي"" أو ""لمفي وعائي"""
lymphangio-,"سابقة بمعنى ""وعاء لمفي"" أو ""لمفي وعائي"""
Lymphangial,وعائي لمفي - متعلق بالأوعية اللمفية
Lymphangial,وعائي لمفي
Lymphangiectasis,توسع الأوعية اللمفية
lymphangiectasia,تمدد الأوعية اللنفاوية أو اللمفية
Lymphangiectatic,متعلق بتمدد الأوعية اللمفية
Lymphangiectodes,ورم وعائي لمفي محدد
Lymphangiectodes lymphangiectomy,التهاب وعاء لمفي أو التهاب الأوعية اللمفية
Lymphangiectomy,خزع وعاء لمفي
Lymphangiitis,التهاب وعاء لمفي أو التهاب الأوعية اللمفية
lymphangitis,التهاب وعاء لمفي أو التهاب الأوعية اللمفية
lymphangioitis,التهاب وعاء لمفي أو التهاب الأوعية اللمفية
Lymphangiography,تصوير الأوعية اللمفية – شعاعيًا
lymphangioadenography,تصوير الأوعية والغدد اللمفية
Lymphendothelioma,بطانوم لمفي
lymphangioendothelioma,ولم بطاني لمفي
Lymphangioitis,التهاب الأوعية اللمفية
lymphangitis,التهاب الأوعية اللمفية
Lymphangiology,مبحث الأوعية اللمفية
Simple lymphangioma,ورم عرقي لنفي بسيط
Lymphangioma,وعاؤوم لمفي - ورم وعائي لمفي أو لنفاوي
Lymphangioma,ورم عرقي لنفي
Lymphangioma,وعاؤوم لمفي
Lymphangiophlebitis,التهاب الأوعية اللمفية والأوردة
Lymphoplasty,رأب لمفي
lymphangioplasty,تقويم لمفي
Lymphangioplasty,التوعية اللمفية
Lymphangiosarcoma,غرن وعائي لمفي - ورم وعائي سركومي
Lymphangiosarcoma,غرن وعائي لمفي
Lymphangiotomy,تشريح الأوعية اللنفاوية
Lymphangitis,التهاب الأوعية اللمفية
Phlegmatic temperament,مزاج لمفي
lymphatic temperament,بلغمي
Lymphatic,لمفي - لنفاوي أو لمفاوي. وعاء لنفاوي - وعاء لمفاوي أو لمفي
Lymphatic,لنفاوي ـ لنفي ـ بلغمي
Lymphatic,لمفي
Lymphatic system,الجهاز اللمفي - الجملة اللمفية
Lymphatic plexus,الضفيرة اللمفية
Lymphatic sinuses,جيوب لمفية
Lymphatic system,الجملة اللمفية
Lymphatic temperament,مزاج لمفي أو لمفاوي (بلغمي)
Lymphatic valve,دسام لمفي
Lymphatic vessels,الأوعية اللمفية
Lymphatic portion,جزء لنفاوي
Lymphatic vessels,أوعية لنفاوية
Lymphatic vessels,وعاء لنفاوي
Lymphatic temperament,مزاج لمفي
Lymphatic tissue,نسيج لمفي
lymphoid tissue,نسيج لمفي
Lymphatic valve,دسام لمفي
lymphaticum,دسام لمفي
Lymphatic vessels,الأوعية اللمفية
Lymphatic sinus’s,جيوب لمفية
Lymphatic or lymphoid tissue,نسيج لمفي أو لمفاوي
Vasa lymphatica,أوعية لمفية
Vasa lymphatica,أوعية لمفية
Vasa lymphatica profunda,الأوعية اللمفية العميقة
Vasa lymphatica superficialia,الأوعية اللمفية السطحية
Lymphaticostomy,فغر الوعاء اللمفي - تفمم أو مفاغمة الوعاء اللمفي – كالمسال الصدري
Lymphaticostomy,فغر الوعاء اللمفي
Lymphatics,الأوعية اللمفية أو اللنفية أو الأوعية اللنفاوية أو اللمفاوية
Valve lymphaticum,دسام لمفي
Systema lymphaticum,الجملة اللمفية
Vas lymphaticum,وعاء لمفي
Status lymphaticus,مزاج لمفي - بلادة الطبع. فرط التنسج اللمفي
Lymphatism,مزاج لنفاوي أو لمفي
status lymphaticus,الحالة اللمفية
Nodus lymphaticus,عقدة لمفية
Plexus lymphaticus,الضفيرة اللمفية
Lymphatism,مزاج لمفي
Lymphatitis,التهاب لمفي التهاب جزء من الجهاز اللمفي
Lymphatology,مبحث الجهاز اللنفاوي
Lymphatolysin,مذيب لمفي - حال لمفاوى
Lymphatolysis,انحلال لمفاوي - ذوبان لمفي
Lymphatolytic,حال لمفاوي
Lymphectasia,توسع لمفي
Lymphoedema,تربل لمفي
lymphedema,الوذمة اللنفاوية
Lymphedema,وذمة لمفية - تربل لنفاوي - أوذيما لمفية
Lymphedema,وذمة لمفية
Lymphization,تكون اللمف - تلمفف
Lymphnoditis,التهاب غدة لنفية
Lympho-,"سابقة بمعنى ""لمفي"""
Lymphocytoblast,أرومة الخلية اللمفية
lymphoblast,جذعة لمفية
Lymphoblast,أرومة لمفاوية - جذعة أو بدائية لنفاوية – تظهر هذه الخلايا في داء ابيضاض الدم اللنفاوي الحاد
Lymphoblast,أرومة اللمفاوية
Lymphoblasthemia,كثرة الأرومات اللمفية في الدم
lymphoblastosis,داء كثرة الجذعات اللمفية
Lymphoblastic,مكون خلايا لمفية - أرومي لمفي
Lymphoblastic,بأرومة اللمفاوية
Lymphoblastoma,ورم أرومي لمفاوي
Lymphoblastomatosis,أرموم لمفاوي - ورم أرومي لنفاوي – ورم مركب من خلايا السلسلة اللنفاوية
Lymphoblastomatous,مختص بالأورام الجذعية اللنفاوية
Lymphoblastosis,تكثر الأرومات اللمفية – في الدم
Lymphocele,ورم لمفاوي
lymphocyst,كييس لنفاوي
Lymphocerastism,تكون الخلايا اللنفوانية
Lymphokinesis,الدوران اللمفي
lymphocinesia,حركة اللمف الباطنية
