headword,alternatives,arabic
Guerrilla Marketing,,تسويق غير تقليدي
Guinea,,غينيا
Guinea-Bissau,Bissau|Guinea,غينيا بيساو
GULF BANK OF KUWAIT,BANK|GULF|KUWAIT,بنك الخليج
Gulf Bank Of Kuwait,,بنك الخليج
Gulf Cable And Electrical Industries,,شركة الخليج للكابلات والصناعات الكهربائية
GULF CABLE AND ELECTRICAL INDUSTRIES CO,CABLE|ELECTRICAL|GULF,شركة الخليج للكابلات والصناعات الكهربائية
GULF CEMENT COMPANY,CEMENT|GULF,شركة أسمنت الخليج
Gulf Cooperation Countries (GCC),Co-operation|Cooperation|Countries|GCC|Gulf,دول مجلس التعاون الخليجي
GULF FINANCE HOUSE E.C.,FINANCE|GULF|HOUSE,بيت التمويل الخليجى - ش م ب
GULF FRANCHISING HOLDING CO. K.S.C.C.,FRANCHISING|GULF|HOLDING,شركة الامتيازات الخليجية القابضة ش.م.ك.م
Gulf Franchising Holding Company,,شركة الامتيازات الخليجية القابضة
GULF GLASS MANUFACTURING CO. K.S.C.C,GLASS|GULF|MANUFACTURING,شركة الخليج لصناعة الزجاج ش.م.ك.م
Gulf Glass Manufacturing Company,,شركة الخليج لصناعة الزجاج
GULF INSURANCE COMPANY,GULF|INSURANCE,شركة الخليج للتأمين
Gulf Insurance Company,,شركة الخليج للتأمين
GULF INVESTMENT HOUSE (K.S.C.C.),GULF|HOUSE|INVESTMENT,بيت الاستثمار الخليجي (ش.م.ك.مقفلة)‏
GULF PETROLEUM INVESTMENT (S.A.K.C),GULF|INVESTMENT|PETROLEUM,الخليجية للإستثمار البترولي ش.م.ك مقفلة
Gulf Petroleum Investment Company,,الشركة الخليجية للاستثمار البترولي
Gulf Rocks Company,,الشركة الخليجية للصخور
GULF ROCKS COMPANY S.A.K.C.,GULF|ROCKS,الشركة الخليجية للصخور ش.م.ك.مقفلة
GULFINVEST INTERNATIONAL K.S.C.C.,GULFINVEST|INTERNATIONAL,الشركة الخليجية الدولية للاستثمار ش.م.ك.م
Guyana,,جوانا/غوانا
GWP,,بيزو غينيا بيساو
GYD,,دولار جوياني
Haiti,,هاييتي
Head office,Head|office,المركز الرئيسي
HEAVY ENGINEERING AND SHIP BUILDING CO.,BUILDING|ENGINEERING|HEAVY|SHIP,ش الصناعات الهندسية الثقيلة وبناء السفن
Heavy Engineering And Ship Building Company,,شركة الصناعات الهندسية الثقيلة وبناء السفن
Hedge,,تحوُّط
Hedging,,تغطية
Heritage,,إرث، تركة، ميراث
HIBOR rate,,سعر الفائدة بين بنوك هونج كونج
HILAL CEMENT CO. (K.S.C.C),CEMENT|HILAL,شركة اسمنت الهلال ش. م. ك.م
Hilal Cement Company,,شركة أسمنت الهلال
Historical Cost,Cost|Historical,التكلفة التاريخية
HKD,,دولار هونج كونج
HNL,,لامبيرا
Holding period,Holding|period,فترة الاحتفاظ
Honduras,,هندوراس
Honor his pledges,Honor|pledges,يفي بتعهداته
Hot line,Hotline,الخط الساخن
Hot site,,الموقع الساخن
Hotline,hot line,الخط الساخن
Hours of trading,Hours|trading,ساعات التداول
Housing bonds,Housing|bonds,سندات إسكان
HOUSING FINANCE CO. S.A.K.C,FINANCE|HOUSING,شركة تمويل الإسكان ش.م.ك مقفلة
HR,human resources,الموارد البشرية
HTG,,جورد
HUF,,فورينت
Hull,,جسم/بدن السفينة، غلاف، قشرة
Human resources,HR,الموارد البشرية
Human Resources Department,Dep.|Department|Human|Resources,إدارة الموارد البشرية
HUMAN SOFT HOLDING CO. K.S.C.C,HOLDING|HUMAN|SOFT,شركة هيومن سوفت القابضة ش.م.ك مقفلة
Human Soft Holding Company,,شركة هيومنس وفت القابضة
Hungary,,المجر (هنجاريا)
Hypothecate,,يرهن (دون تسليم سند الملكية)
Hypothecated stock,Hypothecated|stock,أسهم مرهونة
IASB,,لجنة تفسيرات المعايير الدولية للتقارير المالية
Iceland,,أيسلندا
IDR,,روبية أندونيسية
IEP,,جنيه أيرلندي
IFA HOTELS & RESORTS CO. K.S.C.C,HOTELS|IFA|RESORTS,شركة ايفا للفنادق والمنتجعات ش.م.ك مقفلة
Ifa Hotels & Resorts Company,,شركة إيفا للفنادق والمنتجعات
IFRS (International Financial Reports Standards),Financial|IFRS|International|Reports|Standards,المعايير الدولية لإعداد التقارير المالية
Illegible,,غير مقروء، غير واضح
ILS,,شيكل
Impairment,,النقص في القيمة
Impairment assessment,Impairment|assessment,تقييم الانخفاض في القيمة
Impairment loss,Impairment|loss,الانخفاض في القيمة
Impairment losses,Impairment|losses,خسائر الانخفاض في القيمة
Implication,,تأثير، نتيجة، تضمين، معنى متضمن، تورط
Impose,,يفرض
Improvements,Improvement,تحسينات
In behalf of,,لأجل، لمصلحة
In confidence,,سرا، سري
In connection with,connection,بشأن، بخصوص، فيما يتعلق بـ
In one fell swoop,,في خطوة واحدة
In terms of,,فيما يخص
In the absence of…,absence,في ظل غياب...، في ظل عدم وجود...
In the first place,,من الأساس، في المقام الأول
In trust,trust,كأمانة
Incentives,,حوافز
Incidence,,حدوث، وقوع
Income,,دخل
Income receivable,Income|receivable,إيرادات مدينة
Income receivable from the shareholders,Income|receivable,إيرادات مدينة من المساهمين
Income statement,Income|statement|statement of income,بيان الدخل
Income stock,,أسهم دخـل
Income Tax Decree,Decree|Income|Tax,مرسوم ضريبة الدخل
Income Tax Director,Director|Income|Tax,مدير ضريبة الدخل
Incorporated Company,,شركة مسجلة
Incorporation and activities,Incorporation|activities,التأسيس والنشاط
Increase in accounts receivable,accounts|receivable,الزيادة في الذمم المدينة
"Increase in accounts receivable, prepayments",accounts|prepayments|receivable,الزيادة في الذمم المدينة ومدفوعات مقدما
Increase in amounts due from Kuwait Airways Corporation,Airways|Corporation|Kuwait,الزيادة في مبالغ مستحقة من مؤسسة الخطوط الجوية الكويتية
Increase in capital,capital,الزيادة في رأس المال
Increase in due from related parties,related parties,الزيادة في مستحق من أطراف ذات صلة
Increase in due to banks,due to banks,الزيادة في المستحق إلى بنوك
Increase in due to KFAS,KFAS,الزيادة في المستحق إلى مؤسسة الكويت للتقدم العلمي
Increase in inventories,inventories,الزيادة في المخزون
Increase in investment available for sale,available for sale|investment,الزيادة في استثمارات متاحة للبيع
Increase in investments held to maturity,held to maturity|investments|maturity,الزيادة في استثمارات محتفظ بها حتى الاستحقاق
Increase in other assets,assets|other,الزيادة في موجودات أخرى
Increase in payables and other liabilities,liabilities|payables,الزيادة في ذمم دائنة ومطلوبات أخرى
Increase in provident fund,fund|provident,الزيادة في صندوق الادخار
Increase in provision for employees’ indemnity,employees|indemnity|provision,الزيادة في مخصص مكافأة نهاية خدمة الموظفين
"Increase in trade receivables, advances and other receivables",advances|receivables|trade receivables,الزيادة في مدينون تجاريون وسلف وذمم مدينة أخرى
Increase on revaluation,revaluation,الزيادة من إعادة التقييم
Increase/(decrease) in accounts payable and accrued expenses,accounts payable|accrued|expenses,الزيادة/(النقص) في الذمم الدائنة ومصاريف مستحقة
Increase/(decrease) in due to banks,due to banks,الزيادة/(النقص) في المستحق للبنوك
"Increase/(decrease) in payables, accruals and provisions",accruals|payables|provisions,الزيادة/(النقص) في الذمم الدائنة ومستحقات ومخصصات
Increase/(decrease) in provision for employees end of service indemnity,employees|end of service|indemnity|provision,الزيادة/(النقص) في مخصص مكافأة نهاية خدمة الموظفين
Increase/(decrease) in term loan,loan|term|term loan,الزيادة/(النقص) في قرض لأجل
Incumbent,,شاغل الوظيفة، إلزامي، إجباري
Incurred costs,Incurred|costs,المصاريف المتكبدة
Indefinite life,Indefinite|life,عمر إنتاجي غير محدد
Indenting,,تعاقد على السندات
Independent accountants,Independent|accountants,محاسبون مستقلون
INDEPENDENT PETROLEUM GROUP,GROUP|INDEPENDENT|PETROLEUM,شركة المجموعة البترولية المستقلة
Independent Petroleum Group,,شركة المجموعة البترولية المستقلة
Independent review report,Independent|report|review,تقرير المراجعة المستقل
Index fund,,صندوق مرتبط بمؤشر
India,,الهند
Indirect Method,Indirect|Method,الطريقة غير المباشرة لتحديد صافي النقدية المتأتية (المستخدمة) من الأنشطة التشغيلية
Individual contractual agreement,,عقد اتفاق مع النفس
Indonesia,,إندونيسيا
Industrial Investments Company,,شركة الإستثمارات الصناعية
INDUSTRIAL INVESTMENTS COMPANY (KSCC),INDUSTRIAL|INVESTMENTS,شركة الاستثمارات الصناعية ش.م.ك.م
Information,,معلومات، إعلام
Information coefficient,,معامل المعلومات
Informed decision,Informed|decision,قرار مدروس
Infringement,,مخالفة، إخلال، انتهاك
Infringement action,,دعوى مخالفة/انتهاك/إخلال
INJAZZAT REAL ESTATE DEV. CO (K.S.C.C.),INJAZZAT|REAL ESTATE|development,ش إنجازات للتنمية العقارية (ش.م.ك.مقفلة)‏
Injazzat Real Estate Development Company,,شركة إنجازات للتنمية العقارية
INR,,روبية هندية
Insider Trading,,التداول بناء على معلومات داخلية (غالبا غير شرعي)
Inspector,,فاحص
Institute For Private Education Company,,شركة التعليم الأهلي
INSTITUTE FOR PRIVATE EDUCATION K.S.C.C.,EDUCATION|INSTITUTE|PRIVATE|PRIVATE EDUCATION,شركة التعليم الأهلي ش.م.ك مقفلة
Institute of Internal Auditors,Auditors|Institute|Internal,معهد المدققين الداخليين
Insurance,,التأمين
Insurance expenses,Insurance|expenses,مصاريف تأمين
Insurance policies,Insurance|policies,بوالص/وثائق/سندات تأمين
Insured legal funding,,قروض قضائية/ قانونية مؤمن عليها
Insurgents,,متمردون
Intangible assets,Intangible|assets,موجودات/أصول غير ملموسة
Integral part,Integral|part,جزء لا يتجزأ
Integrated telecom conglomerate,,تكتل لشركات الإتصالات المتكاملة
Interest,,الفائدة
Interest and similar income,Interest|income|similar,فوائد وإيرادات مماثلة
Interest expense and similar charges,Interest expense|similar charges,مصاريف فوائد وأعباء مماثلة
Interest payable received,Interest|Interest payable|received,فوائد دائنة مقبوضة
Interest rate,Interest|rate,معدل الفائدة
Interest rate contracts,Interest rate contract,عقود معدل الفائدة
Interest Rate Risk,,مخاطر سعر الفائدة
Interest rate riskInterest,Interest rate|rate|risk,مخاطر معدل/سعر الفائدة
Interest rate sensitivity gap,Interest|Interest rate sensitivity|gap|rate|sensitivity,فجوة حساسية معدل الفائدة
Interest rate swaps,Interest|rate|swap|swaps,مبادلات معدل الفائدة
Interest-bearing saving accounts,Interest-bearing|accounts|saving|saving account,حسابات إدخار بفائدة
Interest-free loan,Interest-free|loan,قرض حسن
Interim condensed financial statements,Interim|condensed|financial|statements,البيانات المالية المرحلية المكثفة
Interim condensed financial statements (Unaudited),Interim|Unaudited|condensed|financial|statements,البيانات المالية المرحلية المكثفة (غير مدققة)
Interim Financial Reports,Financial|Interim|Reports,التقارير المالية المرحلية
Internal Accounting Standards (IAS),Accounting|IAS|Internal|Standards,معايير المحاسبة الدولية
Internal audit,Internal|audit,التدقيق الداخلي
Internal Auditing,Auditing|Internal,التدقيق الداخلي
Internal Control System,Control|Internal|System,نظام الرقابة الداخلية
Internal controls,,الرقابة الداخلية
Internal Revenue Service (IRS),IRS|Internal|Revenue|Service,مكتب ضريبة الدخل الأمريكي
International Accounting Standards Committee (IASC),Accounting|Committee|IASC|International|Standards,لجنة معايير المحاسبة الدولية
International Company For Investment Projects,,الشركة الدولية للمشروعات الاستثمارية
International Finance Company,,شركة الدولية للتمويل
INTERNATIONAL FINANCE COMPANY (K.S.C.C),FINANCE|INTERNATIONAL,الشركة الدولية للتمويل (ش.م.ك.مقفلة)‏
INTERNATIONAL FINANCIAL ADVISORS,ADVISORS|FINANCIAL|INTERNATIONAL,شركة الاستشارات المالية الدولية
International Financial Investments Company,,شركة الاستثمارات المالية الدولية
International Group For Industrial Projects,,شركة المجموعة الدولية للمشاريع الصناعية
INTERNATIONAL INDUSTRIAL PROJECTS GROUP,GROUP|INDUSTRIAL|INTERNATIONAL|PROJECTS,المجموعة الدولية للمشاريع الصناعية ش.م.ك
International Investment Group,,شركة المجموعة الدولية للاستثمار
INTERNATIONAL INVESTMENT GROUP K.S.C.C,GROUP|INTERNATIONAL|INVESTMENT,المجموعة الدولية للاستثمار ش .م.ك.م
INTERNATIONAL INVESTMENT PROJECTS CO KSC,INTERNATIONAL|INVESTMENT|PROJECTS,الشركة الدولية للمشروعات الاستثمارية
INTERNATIONAL LEASING & INVESTMENT CO.,INTERNATIONAL|INVESTMENT|LEASING,الشركة الدولية للإجارة والاستثمار ش.م.ك.م
International Monetary Fund,Fund|International|Monetary,صندوق النقد الدولي
INTERNATIONAL RESORTS CO. K.S.C.C,INTERNATIONAL|RESORTS,الشركة الدولية للمنتجعات ش.م.ك مقفلة
International Resorts Company,,الشركة الدولية للمنتجعات
Interviewer,,القائم باجراء المقابلة
Intraday,,خلال يوم تعامل واحد
Intraday and overnight exposures,,التحوط من مخاطر العملة
Intro,,مقدمة
Introduction,,طرح أوراق مالية، مقدمة، مدخل، تمهيد، تعريف
Inventory,,المخزون - البضاعة
Investing Activities,Activities|Investing,الأنشطة الاستثمارية
Investment,,استثمار
Investment activities,Investment|activities,أنشطة استثمارية
Investment available for sale,Investment|available for sale|available-for-sale,استثمار متاحة للبيع
Investment held for trading,Investment|held for trading,استثمار محتفظ به للمتاجرة
Investment income received,,عوائد استثمارات مقبوضة
Investment property,,استثمارات عقارية
Investment securities,,أوراق مالية للاستثمار
Investment universe,,مجموعة الاستثمار
Investments,,الاستثمارات
Investments available for sale,Investments|available for sale|available-for-sale,استثمارات متاحة للبيع
Investments held for trading,Investments|held for trading,استثمارات للمتاجرة
Investments held to maturity,Investments|held to maturity,استثمارات محتفظ بها حتى الاستحقاق
Invoice,,فاتورة
Invoice No.,Invoice|No,رقم الفاتورة
IQD,,دينار عراقي
Iran,,إيران
Iraq,,العراق
IRAQ HOLDING CO. K.S.C.C.,HOLDING|IRAQ,شركة العراق القابضة ش.م.ك مقفلة
Ireland,,أيرلندا
IRR,,ريال إيراني
IRR (Internal Rate of Return),IRR|Internal Rate|Internal Rate of Return|Return,المعدل الداخلي للعائدات
ISIN Code,,الكود الدولي للأوراق المالية
ISK,,كرونا أيسلندية
Islamic deposits,Islamic|deposits,ودائع إسلامية
Israel,,إسرائيل
Issuance,,إصدار
Issuance of bank notes,Issuance|bank notes,إصدار الأوراق النقدية
Issued capital,Issued|capital,رأس المال المصدر
Italy,,إيطاليا
ITL,,ليرة إيطالية
Jamaica,,جامايكا
Japan,,اليابان
JEERAN HOLDING CO. S.A.K.C,HOLDING|JEERAN,شركة جيران القابضة ش.م.ك مقفلة
Jeeran Holding Company,,شركة جيران القابضة
JEEZAN REAL ESTATE CO.K.S.C. CLOSED,JEEZAN|REAL ESTATE,شركة جيزان العقارية ش م ك مقفلة
Jeezan Real Estate Company,,شركة جيزان العقارية
JMD,,دولار جاميكي
JOD,,دينار أردني
Jordan,,الأردن
Journal,,دفتر اليومية
JPY,,ين ياباني
K.S.C,,شركة مساهمة كويتية ش.م.ك
K.S.C.C,,شركة مساهمة كويتية (مقفلة) ش.م.ك.م
Kazakhstan,,كازاخستان
KAZMA HOLDING CO. S.A.K.C,HOLDING|KAZMA,شركة كاظمه القابضة ش.م.ك مقفلة
Kazma Holding Company,,شركة كاظمة القابضة
KD,,دينار كويتي - د.ك
Keeping abreast,Keeping|abreast,تمشيا مع
Kenya,,كينيا
KES,,شلن كيني
Key EU indicators,,مؤشرات رئيسية للاتحاد الأوروبي
Key money,,خلو
KFH,,بيت التمويل الكويتي
KHR,,ريال كمبودي
KIPCO ASSET MANAGEMENT CO. K.S.C.CLOSED,ASSET|KIPCO|MANAGEMENT,مشاريع الكويت الاستثمارية لإدارة الأصول
Kipco Asset Management Company,,مشاريع الكويت الاستثمارية لادارة الاصول
Kiribati,,كريباتي
KMF,,فرنك كوموروس
know-how,,معرفة فنية، معرفة طرق، معرفة سـبل
"Korea, North",Korea|North,كوريا الشمالية
"Korea, South",Korea|South,كوريا الجنوبية
KPMG,,كي بي ام جي
KPW,,وون
KRW,,وون
Kuwai Oil Company,,شركة نفط الكويت
Kuwait,,الكويت
KUWAIT & GULF LINK TRANSPORT CO. (KSCC),GULF|KUWAIT|LINK|TRANSPORT,شركة رابطة الكويت والخليج للنقل-ش.م.ك.م
KUWAIT & MIDDLE EAST FIN. INV. CO. KSCC,EAST|KUWAIT|MIDDLE,شركة الكويت و الشرق الأوسط للاستثمار
Kuwait & Middle East Fin. Inv. Company,,شركة الكويت والشرق الأوسط للإستثمار
KUWAIT BAHRAIN INTERNATIONAL EXCHANGE CO,BAHRAIN|EXCHANGE|INTERNATIONAL|KUWAIT,الكويتية البحرينية للصيرفة الدولية ش.م.ك
Kuwait Bahrain International Exchange Company,,الكويتية البحرينية للصيرفة الدولية
KUWAIT BUILDING MATERIALS MANUFACTURING,BUILDING|KUWAIT|MANUFACTURING|MATERIALS,الشركة الكويتية لصناعة مواد البناء ش.م.ك
Kuwait Building Materials Manufacturing,,الشركة الكويتية لصناعة مواد البناء
Kuwait Cable Vision,,الشركة الكويتية للكيبل التلفزيوني
KUWAIT CABLE VISION (S.A.K.),CABLE|KUWAIT|VISION,الشركة الكويتية للكيبل التلفزيوني-ش.م.ك
KUWAIT CEMENT COMPANY,CEMENT|KUWAIT,شركة أسمنت الكويت
Kuwait Cement Company,,شركة أسمنت الكويت
KUWAIT CO. FOR PROCESS PLANT CONS.&CONT,Construction|KUWAIT|PLANT|PROCESS,الشركة الكويتية لبناء المعامل والمقاولات
KUWAIT COMMERCIAL COMPLEX COMPANY,COMMERCIAL|COMPLEX|KUWAIT,شركة مجمعات الأسواق التجارية الكويتية
Kuwait Commercial Complex Company,,شركة مجمعات الأسواق التجارية الكويتية
KUWAIT COMPUTER COMPANY,COMPUTER|KUWAIT,شركة الحاسبات القابضة ش.م.ك.مقفلة
Kuwait Computer Company,,شركة الحاسبات القابضة
KUWAIT EDUCATIONAL SERVICES COMPANY,EDUCATIONAL|KUWAIT|SERVICES,المجموعة التعليمية القابضة
Kuwait Educational Services Company,,شركة المجموعة التعليمية القابضة
Kuwait Finance House (KFH),Finance|House|KFH|Kuwait,بيت التمويل الكويتي
Kuwait Financial Centre Company,,شركة المركز المالي الكويتي
KUWAIT FINANCIAL CENTRE S.A.K.C,CENTRE|FINANCIAL|KUWAIT,المركز المالي الكويتي ش م ك م
KUWAIT FINANCING & INVESTMENT CO. KSCC,FINANCING|INVESTMENT|KUWAIT,الشركة الكويتية للتمويل والاستثمار ش.م.ك
Kuwait Financing & Investment Company,,الشركة الكويتية للتمويل والاستثمار
KUWAIT FOOD COMPANY (AMERICANA),AMERICANA|FOOD|KUWAIT,الشركة الكويتية للأغذية
Kuwait Food Company - Americana,,الشركة الكويتية للأغذية - أمريكانا
KUWAIT FOUNDRY CO. (S.A.K.C),FOUNDRY|KUWAIT,شركة السكب الكويتية ش.م.ك.م
Kuwait Gulf Oil Company,,الشركة الكويتية لنفط الخليج
KUWAIT HOTELS COMPANY,HOTELS|KUWAIT,شركة الفنادق الكويتية
Kuwait Hotels Company,,شركة الفنادق الكويتية
Kuwait Income Tax Decree,Decree|Income|Kuwait|Tax,مرسوم ضريبة الدخل الكويتية
Kuwait Industrial Gases,,شركة الغازات الصناعية الكويتية
KUWAIT INSURANCE COMPANY,INSURANCE|KUWAIT,شركة الكويت للتأمين
Kuwait Insurance Company,,شركة الكويت للتأمين
KUWAIT INVEST CO. (HOLDING) K.S.C.C,INVEST|KUWAIT,شركة كويت إنفست (القابضة) ش.م.ك مقفلة
Kuwait Invest Company (Holding),,شركة كويت إنفست (القابضة)
KUWAIT INVESTMENT COMPANY,INVESTMENT|KUWAIT,الشركة الكويتية للاستثمار
Kuwait Investment House,,بيت الاستثمار الكويتي
KUWAIT INVESTMENT PROJECTS COMPANY,INVESTMENT|KUWAIT|PROJECTS,شركة مشاريع الكويت القابضة
KUWAIT LEBANESE REAL ESTATE DEV. CO.KSCC,KUWAIT|LEBANESE|REAL ESTATE,الشركة الكويتية اللبنانية للإنماء العقاري
Kuwait Lebanese Real Estate Development,,الشركة الكويتية اللبنانية للإنماء العقاري
KUWAIT NATIONAL CINEMA,CINEMA|KUWAIT|NATIONAL,شركة السينما الكويتية الوطنية
Kuwait National Pertrolum Company,,شركة البترول الوطنية الكويتية
Kuwait Oil Tanker Company,,شركة ناقلات النفط الكويتية
Kuwait Oxygen and Acetylene,,شركة أوكسجين الكويت
Kuwait Packaging  Materials Manufacturing,,الشركة الكويتية لصناعة مواد التغليف
KUWAIT PACKING MATERIALS MANUFACTURING,KUWAIT|MANUFACTURING|MATERIALS|PACKING,الشركة الكويتية لصناعة مواد التغليف
Kuwait Petroleum Corporation,,مؤسسة البترول الكويتية
KUWAIT PIPES INDUSTRIES & OIL SERVICES,INDUSTRIES|KUWAIT|OIL|PIPES|SERVICES,الشركة الكويتية لصناعات الأنابيب - نفطية
Kuwait Pipes Industries & Oil Services,,الشركة الكويتية لصناعة الأنابيب والخدمات النفطية
Kuwait Plaza Hotel Company,,شركة فندق كويت بلازا
Kuwait Portland Cement,,شركة أسمنت بورتلاند كويت
KUWAIT PRIVATIZATION PROJECT HOLDING CO.,HOLDING|KUWAIT|PRIVATIZATION|PROJECT,الشركة الكويتية لمشاريع التخصيص القابضة
KUWAIT REAL ESTATE BANK,BANK|KUWAIT|REAL ESTATE,البنك العقاري الكويتي
Kuwait Real Estate Bank,,البنك العقاري الكويتي
Kuwait Real Estate Bank (KREB),Bank|KREB|Kuwait|Real Estate,البنك العقاري الكويتي
KUWAIT REAL ESTATE COMPANY,KUWAIT|REAL ESTATE,شركة عقارات الكويت
Kuwait Real Estate Company,,شركة عقارات الكويت
KUWAIT REAL ESTATE HOLDING CO. K.S.H.C,HOLDING|KUWAIT|REAL ESTATE,الشركة الكويتية العقارية القابضة ش.م.ك
Kuwait Real Estate Holding Company,,الشركة الكويتية العقارية القابضة
Kuwait Real Estate Mutamaiza Group,,المجموعة الكويتية المتميزة العقارية
Kuwait Reconstruction House for Trading and Contracting,,بيت البناء الكويتي للتجارة والمقاولات
Kuwait Reinsurance Company,,شركة إعادة التأمين الكويتية
KUWAIT REINSURANCE COMPANY K.S.C.C.,KUWAIT|REINSURANCE,شركة إعادة التأمين الكويتية ش.م.ك.مقفلة
Kuwait Securities House,,بيت الأوراق المالية الكويتي
Kuwait Securities Market,Kuwait|Market|Securities,سوق الكويت للأوراق المالية
Kuwait shareholding Co.(Closed) (K.S.C.C),Closes|K.S.C.C|Kuwait|shareholding,شركة مساهمة كويتية (مقفلة) (ش.م.ك.م)
KUWAIT SLAUGHTER HOUSE CO. K.S.C.C,HOUSE|KUWAIT|SLAUGHTER,الشركة الكويتية للمسالخ ش.م.ك.مقفلة
Kuwait Slaughter House Company,,الشركة الكويتية للمسالخ
Kuwait Small Projects Development,,الشركة الكويتية لتطوير المشروعات الصغيرة
Kuwait Stock Exchange (KSE),Exchange|KSE|Kuwait|Stock,سوق الكويت للأوراق المالية/بورصة الكويت
KUWAIT UNITED POULTRY COMPANY,KUWAIT|POULTRY|UNITED,الشركة الكويتية المتحدة للدواجن
Kuwait United Poultry Company,,الشركة الكويتية المتحدة للدواجن
Kuwaiti Dinar,Dinar|Kuwaiti,دينار كويتي
Kuwaiti Specialization Projects Holding Company,,الشركة الكويتية لمشاريع التخصيص القابضة
KWD,,دينار كويتي - د.ك
KYD,,دولار جزر كايمان
Kyrgyzstan,,قرجستان
Lack of experience,Lack of|experience,نقص الخبرة
LAK,,كيب
Land available for sale,Land|available for sale|available-for-sale,أرض متاحة للبيع
Land held for trading,Land|held for trading,أرض للمتاجرة
Laos,,لاوس
Large cap,,أسهم شركات ذات رأس مال كبير
Last in first out (LIFO),LIFO|first|first out|last|last in,الوارد آخرا يصرف أولا
Latvia,,لاتفيا
Lay days,,فترة الشحن والتفريغ، أيام مصرح بها لتفريغ السفينة أو شحنها
LBP,,ليرة لبنانية
LC,,خطاب اعتماد
LC value,LC|value,قيمة خطاب الاعتماد
Least square method,,طريقة المربعات الصغرى
Lebanon,,لبنان
Legal expenses,Legal|expenses,مصاريف قانونية
Lesotho,,ليسوتو
Lessee,,مستأجر
Lessor,,مؤجر
Letter of credit,LC|Letter|credit,خطاب اعتماد
Letter of credit value,Letter|credit|value,قيمة خطاب الاعتماد
Letter of guarantee,LG|Letter|guarantee,خطاب ضمان
Letters of credit,Letters|credit,اعتمادات مستندية
Letters of guarantee,Letters|guarantee,خطابات ضمان
Leveraging Network,,شبكة علاقات
Liabilities,,المطلوبات - الالتزامات
Liabilities and shareholders' equity,Liabilities|equity|shareholders,المطلوبات وحقوق المساهمين
Liberia,,ليبيريا
Libya,,ليبيا
Liechtenstein,,ليخنشتين
Limited liability company,LLC|Limited|W.L.L|WLL|company|liability,شركة ذات مسؤولية محدودة
Limited partner,,شريك موصي
Line-by-line basis,Line-by-line|basis|line,على أساس كل بند على حدة
Linear regression,,الانحدار الخطي
Liquidated damages,,تعويض عن أضرار بقيمة نقدية، خسائر التصفية
Liquidation,,تصفية
Liquidity risk,Liquidity|risk,مخاطر السيولة
List,,قائمة
Listed company,Listed|company,شركة مدرجة بالبورصة
Listed equity investments,Listed|equity|investments,استثمارات في أسهم مدرجة
Lithuania,,ليتوانيا
LIVESTOCK TRANSPORT & TRADING COMPANY,LIVESTOCK|TRADING|TRANSPORT,شركة نقل و تجارة المواشي
LKR,,روبية
Loan guarantees,Loan|guarantees,ضمانات قروض
Loans and advances,Loans|advances,قروض وسلف
Local bank,Local|bank,بنك محلي
Local banks,Local|banks,بنوك محلة
Local quoted equity,Local|equity|quoted,حقوق محلية مسعرة
Local shares,Local|shares,أسهم محلية
Logistics operators,,مقدمو الخدمات اللوجستية، شركات النقل والخدمات اللوجستية، مقدمو خدمات الإسناد
Long Option Position,Long|Option|Position,مركز (فائض) لعقد الخيار
Long Term Investment,Investment|Long|Term|long term,استثمار طويل الأجل
Long Term Liabilities,Liabilities|Long|Term|long term,التزامات طويلة الأجل
Long term loan,Long|Long term|loan|term,قرض طويل الأجل
Long/short stocks,,أسهم ذات أسعار صاعدة/هابطة
Loss,,خسارة
Lost cusomer sales,,مبيعات لم تتحقق
Low-profile,,غير ظاهر
LRD,,دولار ليبيري
LSM,,لوتي
Lucrative,,مربح، مجز، مكسب، عائد بالفائدة
LUF,,فرنك لوكسمبرجي
Luxembourg,,لكسمبورج
LYD,,دينار ليبي
Mabanee Company,,شركة المباني
MABANEE COMPANY ( S.A.K.C ),MABANEE,شركة المباني ش.م.ك.م
"Macedonia, Former Yugoslav Republic of",Macedonia,مقدونيا
MAD,,درهم مغربي
Madagascar,,مدغشقر
Maintenance of contracts,Maintenance|contracts,إدارة العقود
Major Resource Holder,,مالك حصة كبيرة، صاحب نصيب كبير، متحكم فى نسبة كبيرة من الموارد أو (رأس المال
Malawi,,مالاوي
Malaysia,,ماليزيا
Maldives,,جزر الملديف
Mali,,مالي
Malta,,مالطا
Managed funds,Managed|funds,صناديق مدارة
Management and trustee fees,Management|fees|trustee,رسوم إدارة وأمانات
Management buyin,,سيطرة مع بقاء الإدارة
Management buyout,,سيطرة إدارة الشركة
Management fees,Management|fees,أتعاب إدارة
Management response,Management|response,رد الإدارة
Managing Director,Director|Managing,العضو المنتدب
Margin,,هامش ربح
Marginal,,حدي
Margins,,أرباح، هوامش أرباح
Maritime Constructions And Service Company,,شركة المقاولات والخدمات البحرية
Mark-up,,هامش الـربـح
MARKAZ REAL ESTATE FUND,FUND|MARKAZ|REAL ESTATE,صندوق المركز العقاري
Market risk,,مخاطر السوق
Market Value,Market|Value,القيمة السوقية
Market-neutral strategies,,إستراتيجيات ذات نظرة محايدة للسوق
Marketable Debt Securities,Debt|Marketable|Securities,الأوراق المالية - على شكل سندات
Marketable Equity Securities,Equity|Marketable|Securities,الأوراق المالية على شكل أسهم
